"Does your employer provide mental health benefits as part of healthcare coverage?_num,Do you know the options for mental health care available under your employer-provided coverage?_num,""Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?_num"",Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?_num,Would you feel comfortable discussing a mental health disorder with your coworkers?_num,Do you think that discussing a mental health disorder with your employer would have negative consequences?_num,Do you feel that your employer takes mental health as seriously as physical health?_num,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?_num,Do you currently have a mental health disorder?_num,Have you ever sought treatment for a mental health issue from a mental health professional?_num,Do you feel that being identified as a person with a mental health issue would hurt your career?_num,How willing would you be to share with friends and family that you have a mental illness?_num"
"2,2,2,2,2,2,2,1,0,0,0,5"
"4,1,1,1,1,0,0,0,0,1,3,3"
"3,2,0,0,1,1,3,0,2,0,3,2"
"4,1,1,0,0,0,0,0,1,0,1,3"
"4,3,0,3,0,0,3,0,2,1,4,5"
"0,0,0,3,0,1,3,0,1,1,1,5"
"2,2,2,2,2,2,2,1,1,1,3,4"
"0,1,1,3,0,1,3,0,1,0,0,4"
"4,0,1,0,1,3,1,2,0,1,4,4"
"2,2,2,2,2,2,2,1,2,1,0,5"
"0,0,1,0,1,0,0,0,0,1,0,2"
"0,1,1,3,3,1,0,0,1,0,0,1"
"2,2,2,2,2,2,2,1,0,1,0,4"
"4,1,3,0,1,0,3,0,2,0,0,3"
"4,3,3,3,0,1,0,0,0,1,0,4"
"1,1,1,1,1,3,0,0,1,1,3,5"
"0,0,1,3,0,0,0,0,1,0,3,4"
"2,2,2,2,2,2,2,1,0,1,3,4"
"4,1,0,1,1,0,0,0,1,0,3,1"
"4,0,3,3,0,0,0,0,1,0,0,4"
"4,0,1,0,0,1,0,0,1,0,0,4"
"0,1,1,0,3,1,1,0,2,0,0,4"
"2,2,2,2,2,2,2,1,2,1,3,4"
"4,0,1,0,3,1,1,0,1,1,1,5"
"4,1,1,0,1,0,0,0,1,0,3,3"
"4,1,1,3,0,3,1,0,0,0,0,5"
"1,3,1,0,1,0,0,0,0,1,3,4"
"4,3,1,3,3,1,3,0,2,1,3,5"
"4,0,1,3,3,0,0,0,2,1,0,0"
"1,2,1,3,3,1,1,0,2,1,0,4"
"4,3,1,1,1,3,0,2,0,1,4,4"
"4,0,1,3,0,0,1,0,2,1,0,4"
"4,3,3,3,3,3,1,0,1,0,1,4"
"4,3,3,3,3,1,3,2,2,1,1,5"
"1,2,1,1,1,3,0,2,2,1,4,4"
"4,1,1,0,0,0,1,0,2,1,3,4"
"1,2,3,3,0,1,3,0,0,0,0,3"
"0,0,1,1,1,3,0,0,2,1,3,2"
"4,3,1,1,1,3,1,0,2,1,3,4"
"4,3,3,0,1,0,3,0,1,0,1,3"
"0,0,3,1,0,0,0,2,0,1,3,5"
"0,0,1,3,3,0,1,0,1,1,0,4"
"0,0,0,1,0,3,0,0,2,0,0,2"
"2,2,2,2,2,2,2,1,0,1,3,0"
"0,1,1,3,0,0,0,0,1,1,1,4"
"4,3,0,3,3,1,3,0,0,1,1,5"
"2,2,2,2,2,2,2,1,0,0,0,0"
"1,2,1,3,3,3,1,2,2,0,3,2"
"1,1,1,0,1,0,0,0,1,0,3,0"
"2,2,2,2,2,2,2,1,2,1,0,5"
"0,1,1,3,3,0,3,0,2,1,3,5"
"4,0,3,0,1,1,3,0,0,0,0,1"
"4,3,0,3,0,0,1,0,1,0,0,4"
"4,1,1,0,0,1,3,0,1,0,3,4"
"1,0,1,3,3,1,3,0,0,0,1,0"
"4,1,0,0,0,0,0,0,1,0,0,4"
"0,1,1,1,1,0,1,0,2,0,3,4"
"4,0,1,3,3,1,3,0,2,1,0,5"
"4,1,1,3,3,0,0,0,0,1,0,5"
"1,1,1,0,1,1,0,0,2,0,0,3"
"2,2,2,2,2,2,2,1,2,1,2,4"
"1,2,1,0,0,1,0,0,1,0,0,4"
"4,1,1,1,0,3,1,0,1,0,3,3"
"4,0,0,3,0,0,3,2,0,1,3,5"
"4,3,1,1,1,0,0,0,2,1,0,4"
"2,2,2,2,2,2,2,1,2,1,0,5"
"4,3,0,0,0,1,1,0,0,1,0,3"
"0,0,1,3,3,1,0,0,1,0,0,4"
"0,0,1,3,3,1,3,0,0,1,2,5"
"1,0,1,0,1,0,0,0,1,0,3,0"
"2,2,2,2,2,2,2,1,0,1,3,4"
"0,0,1,3,0,1,0,0,0,1,0,4"
"4,3,3,0,0,0,0,0,1,1,0,3"
"4,3,1,0,1,0,1,0,2,1,3,4"
"4,0,1,1,1,0,1,0,1,1,3,1"
"0,0,0,3,3,1,0,0,1,0,0,4"
"4,3,3,0,0,0,0,0,2,1,0,5"
"4,3,3,3,3,0,3,0,1,0,0,5"
"0,1,1,0,0,3,0,0,1,0,3,3"
"2,2,2,2,2,2,2,1,2,0,0,4"
"3,1,1,0,1,3,1,2,0,1,4,3"
"4,3,3,3,0,1,3,0,1,0,0,4"
"4,3,1,3,3,1,3,2,1,0,1,1"
"4,3,1,3,0,1,3,0,1,0,0,5"
"0,0,0,0,0,0,1,0,1,0,0,4"
"1,1,1,1,1,0,1,0,0,0,0,4"
"4,3,3,3,3,1,3,0,0,0,2,0"
"2,2,2,2,2,2,2,1,2,0,0,5"
"2,2,2,2,2,2,2,1,1,1,0,4"
"0,0,1,3,0,1,3,0,2,0,4,4"
"4,1,1,0,1,0,3,0,1,0,3,2"
"1,2,1,0,0,0,0,0,2,1,3,4"
"4,3,1,3,0,3,0,0,1,0,3,1"
"2,2,2,2,2,2,2,1,1,0,0,4"
"1,2,1,1,1,3,1,2,2,1,3,2"
"4,0,0,0,3,0,0,0,0,1,0,4"
"3,2,1,0,0,0,0,0,2,1,3,5"
"4,0,1,0,0,3,1,0,2,1,3,3"
"2,2,2,2,2,2,2,1,1,0,0,4"
"0,0,1,0,0,0,0,0,1,0,0,4"
"0,1,1,1,1,0,0,0,1,1,0,5"
"2,2,2,2,2,2,2,1,1,1,3,4"
"1,1,1,1,1,3,1,0,2,1,3,3"
"1,2,1,1,1,3,1,0,0,0,4,4"
"4,3,1,3,3,0,1,2,1,0,0,1"
"1,2,1,1,3,0,0,0,1,0,0,4"
"0,1,1,3,0,3,1,0,2,0,3,4"
"2,2,2,2,2,2,2,1,1,0,3,4"
"1,2,1,1,1,3,1,0,2,1,3,4"
"2,2,2,2,2,2,2,1,2,1,3,4"
"0,0,1,1,1,1,3,0,1,0,3,3"
"1,1,1,0,3,0,3,0,1,1,0,5"
"4,0,1,0,0,0,1,0,1,0,1,4"
"4,0,3,3,0,0,3,0,1,1,0,4"
"2,2,2,2,2,2,2,1,2,1,0,0"
"3,2,1,3,3,1,3,0,1,0,3,1"
"4,0,1,0,1,0,1,0,2,1,3,4"
"3,2,3,1,1,3,1,0,2,1,3,4"
"2,2,2,2,2,2,2,1,2,1,3,3"
"4,1,1,1,1,3,0,0,2,1,3,2"
"2,2,2,2,2,2,2,1,0,0,0,1"
"1,2,1,0,0,0,1,0,0,0,0,4"
"3,2,3,1,1,0,0,0,2,1,4,4"
"0,0,1,0,0,1,3,0,0,0,0,4"
"4,1,3,3,3,0,3,0,1,1,3,3"
"1,1,3,0,1,0,3,0,2,1,3,4"
"2,2,2,2,2,2,2,1,2,1,0,5"
"4,0,1,1,0,3,1,0,0,1,4,4"
"4,0,3,3,0,1,0,0,2,1,0,4"
"1,2,1,3,0,0,3,0,1,1,3,0"
"4,3,1,1,3,3,1,0,1,1,3,5"
"0,0,0,0,1,1,3,0,2,1,0,4"
"4,1,1,1,1,3,1,0,0,1,3,4"
"3,0,3,0,1,3,0,0,1,1,3,3"
"2,2,2,2,2,2,2,1,0,1,1,4"
"4,3,1,0,0,0,1,0,1,0,0,0"
"2,2,2,2,2,2,2,1,0,1,0,4"
"3,2,3,0,0,1,3,0,0,1,0,4"
"2,2,2,2,2,2,2,1,0,1,3,4"
"1,2,1,0,1,0,1,2,0,1,3,4"
"4,1,1,0,0,0,0,0,2,1,4,4"
"1,2,1,1,1,0,1,0,2,0,3,3"
"4,3,3,0,1,0,3,0,2,1,3,4"
"1,2,1,1,1,3,1,0,0,0,3,2"
"2,2,2,2,2,2,2,1,2,1,3,4"
"0,1,1,0,1,0,1,0,1,0,1,5"
"2,2,2,2,2,2,2,1,0,1,3,4"
"3,2,0,3,3,1,3,0,2,1,1,5"
"2,2,2,2,2,2,2,1,2,1,0,4"
"2,2,2,2,2,2,2,1,0,1,4,0"
"4,3,1,1,1,3,1,0,0,1,3,4"
"4,0,1,1,1,3,1,2,2,1,3,4"
"4,0,0,3,0,1,1,0,2,1,3,4"
"2,2,2,2,2,2,2,1,0,0,3,3"
"3,2,1,3,1,0,0,0,1,0,3,0"
"4,0,3,0,3,0,0,0,2,1,0,4"
"3,1,1,0,0,3,3,0,1,0,0,4"
"2,2,2,2,2,2,2,1,1,0,3,1"
"2,2,2,2,2,2,2,1,1,1,0,5"
"0,0,1,0,1,0,0,0,0,1,3,4"
"4,0,0,1,1,3,3,0,2,1,3,0"
"0,0,3,3,0,1,3,0,1,0,1,1"
"2,2,2,2,2,2,2,1,2,1,0,4"
"4,0,1,1,0,3,0,0,2,1,4,3"
"2,2,2,2,2,2,2,1,1,0,3,4"
"1,2,1,1,1,1,0,0,1,0,3,1"
"4,0,1,1,1,0,0,0,2,0,0,0"
"2,2,2,2,2,2,2,1,2,1,3,3"
"2,2,2,2,2,2,2,1,1,1,0,0"
"1,2,1,3,3,1,3,0,1,0,0,4"
"1,0,1,1,0,0,0,0,0,0,3,2"
"1,1,1,0,0,0,0,0,0,0,0,5"
"1,2,3,1,1,3,3,0,1,0,3,3"
"0,1,1,3,3,1,0,0,1,0,0,1"
"0,3,1,1,0,0,1,0,2,1,0,4"
"1,2,1,3,0,1,0,0,1,0,1,4"
"3,2,1,0,0,0,0,0,0,1,1,4"
"1,1,3,3,3,3,1,2,1,1,0,3"
"0,0,3,3,1,0,3,0,2,1,0,5"
"1,3,1,1,1,3,1,2,2,1,3,4"
"0,0,1,0,1,3,0,0,0,0,3,3"
"4,3,3,3,0,1,1,2,1,1,0,4"
"4,3,1,1,1,3,0,0,2,1,4,3"
"4,3,1,1,0,3,1,0,0,0,0,3"
"2,2,2,2,2,2,2,1,0,1,3,4"
"4,3,1,1,1,3,0,0,2,1,0,4"
"4,1,1,1,1,3,0,0,1,0,3,3"
"4,3,1,3,0,1,3,0,2,1,4,5"
"1,0,1,0,1,0,0,0,2,1,0,4"
"0,1,0,1,1,3,0,0,0,0,3,2"
"4,1,1,0,3,0,3,0,1,0,3,3"
"4,3,1,0,1,0,0,0,0,0,0,4"
"0,0,1,0,0,0,0,0,2,1,3,4"
"4,3,1,3,3,0,1,0,2,1,3,4"
"4,3,1,3,3,0,3,0,2,1,0,4"
"4,3,3,0,3,0,1,0,2,1,3,5"
"4,3,3,1,1,3,0,0,0,1,3,3"
"3,2,1,1,1,3,1,0,2,1,4,4"
"2,2,2,2,2,2,2,1,2,1,3,4"
"0,1,1,3,3,0,1,0,1,0,3,5"
"2,2,2,2,2,2,2,1,2,1,4,5"
"3,0,1,0,0,0,1,0,0,1,0,4"
"4,3,1,3,3,1,3,0,2,1,2,5"
"0,0,1,3,3,1,0,0,1,1,0,4"
"4,0,1,3,3,0,0,0,2,1,0,5"
"4,1,1,0,0,0,3,0,0,0,3,2"
"0,0,1,3,3,0,3,0,1,0,0,4"
"0,1,1,1,1,0,0,0,1,0,3,1"
"0,1,1,0,0,0,0,0,1,0,0,5"
"4,1,1,3,3,1,3,0,1,0,1,0"
"0,1,1,3,3,1,3,0,1,0,1,4"
"0,1,1,1,1,0,0,0,1,0,3,1"
"0,1,1,3,3,1,3,0,1,0,0,5"
"4,0,1,0,0,1,0,0,2,1,1,4"
"0,0,1,1,1,3,0,0,1,0,3,1"
"4,1,1,3,0,0,3,0,1,0,0,3"
"4,0,1,1,1,0,0,0,2,1,3,3"
"0,1,0,1,1,3,0,0,1,1,3,3"
"4,1,0,3,0,1,3,0,0,0,0,2"
"0,0,3,3,3,1,3,0,0,1,0,5"
"1,1,1,1,1,3,0,0,1,0,3,3"
"0,1,1,0,0,1,3,0,1,0,1,1"
"4,3,1,0,0,0,1,0,2,1,3,0"
"1,0,1,1,1,0,1,0,2,1,3,0"
"1,2,1,3,3,1,3,0,2,1,4,5"
"4,3,3,1,1,3,1,0,0,1,3,4"
"4,3,3,3,3,1,3,0,2,1,1,5"
"3,0,1,1,1,3,1,2,2,1,3,3"
"0,1,1,1,1,0,1,0,1,1,3,5"
"4,3,1,1,1,3,1,0,2,1,3,4"
"0,1,1,0,1,0,1,0,1,1,3,4"
"0,1,1,3,0,1,3,0,1,0,0,4"
"2,2,2,2,2,2,2,1,2,0,1,0"
"2,2,2,2,2,2,2,1,1,1,3,1"
"3,2,3,1,1,1,3,0,2,1,1,2"
"4,3,1,0,0,0,1,0,2,1,0,4"
"0,1,1,3,3,1,3,0,0,0,1,4"
"4,0,1,3,0,0,0,0,0,0,3,4"
"4,3,1,0,0,3,3,0,2,1,0,4"
"3,2,0,0,1,1,3,0,1,0,3,2"
"2,2,2,2,2,2,2,1,2,1,3,4"
"1,1,1,1,1,3,0,0,2,1,3,3"
"4,3,3,1,0,0,0,0,2,1,3,0"
"1,2,1,0,3,1,3,0,1,1,1,5"
"0,0,1,1,0,3,1,0,0,1,3,3"
"4,1,1,0,3,1,1,0,2,1,2,4"
"4,3,1,1,1,3,1,0,2,1,3,5"
"4,1,3,3,3,1,3,0,2,1,0,4"
"1,1,1,3,0,1,0,0,1,0,0,4"
"2,2,2,2,2,2,2,1,2,1,0,5"
"1,1,1,0,1,3,0,0,1,0,3,4"
"0,0,1,0,0,3,1,0,0,0,3,4"
"1,2,1,3,0,1,0,0,1,0,3,4"
"4,3,1,0,1,0,0,0,2,1,3,4"
"4,1,1,3,0,0,0,0,2,1,0,3"
"2,2,2,2,2,2,2,1,2,1,3,3"
"0,1,3,1,1,3,1,2,2,1,3,4"
"0,3,3,3,1,3,3,0,1,1,3,4"
"0,0,1,1,1,0,1,0,2,0,1,4"
"0,1,1,0,1,0,0,0,1,0,0,3"
"0,0,1,1,0,0,1,0,0,0,3,3"
"1,1,1,0,0,1,3,0,1,1,1,5"
"4,1,1,1,1,0,0,0,2,1,0,4"
"0,1,3,1,0,0,3,0,1,0,0,4"
"4,3,0,3,3,1,3,0,2,1,0,5"
"4,1,1,3,0,1,3,0,1,0,1,4"
"0,0,1,0,0,0,0,0,0,0,3,3"
"0,0,1,0,1,0,0,0,2,1,3,5"
"4,3,0,0,0,0,0,0,2,1,4,5"
"0,1,1,1,1,1,1,0,0,0,3,3"
"2,2,2,2,2,2,2,1,1,0,0,1"
"0,1,1,0,1,0,0,0,0,0,3,5"
"4,0,0,1,0,0,0,2,1,1,4,5"
"0,1,1,0,0,1,0,0,2,1,0,4"
"2,2,2,2,2,2,2,1,0,0,3,2"
"2,2,2,2,2,2,2,1,2,1,3,4"
"0,1,3,1,1,0,3,0,1,0,3,0"
"2,2,2,2,2,2,2,1,1,0,0,1"
"4,3,1,1,0,0,1,0,2,1,3,4"
"2,2,2,2,2,2,2,1,2,1,4,4"
"2,2,2,2,2,2,2,1,1,1,3,4"
"4,3,1,3,3,1,0,0,2,1,1,5"
"1,2,1,0,1,0,3,0,0,1,3,3"
"0,0,0,3,3,1,3,0,2,1,1,5"
"4,3,0,3,3,1,0,0,2,1,1,5"
"4,3,3,0,0,1,0,0,2,1,2,4"
"4,3,1,0,0,0,3,0,2,1,4,5"
"4,1,1,0,0,1,3,0,2,1,0,4"
"1,2,1,1,1,3,1,0,2,0,4,2"
"2,2,2,2,2,2,2,1,2,1,3,5"
"3,1,3,3,0,0,0,0,0,0,0,3"
"4,3,1,3,3,1,3,0,2,1,1,5"
"4,3,1,3,0,0,3,0,1,0,0,4"
"4,3,1,3,0,0,0,0,2,1,4,5"
"4,3,0,3,0,0,3,0,2,1,0,3"
"4,3,1,0,0,3,1,0,2,1,0,4"
"4,3,1,1,1,1,0,0,2,1,0,3"
"4,0,1,0,1,0,0,0,2,1,0,4"
"0,0,1,1,0,0,1,0,1,0,3,1"
"2,2,2,2,2,2,2,1,2,1,0,4"
"3,2,1,1,1,0,0,0,2,1,0,2"
"4,1,1,3,0,1,3,0,1,0,0,4"
"1,2,1,1,1,0,1,0,1,0,0,1"
"1,1,1,1,1,0,1,0,0,0,3,1"
"0,1,1,0,0,0,0,0,1,1,3,5"
"0,0,1,0,0,1,3,0,0,0,0,4"
"0,1,1,3,3,3,1,0,2,1,3,4"
"2,2,2,2,2,2,2,1,2,1,4,5"
"2,2,2,2,2,2,2,1,2,1,4,3"
"4,3,3,0,0,0,3,0,0,0,3,3"
"4,3,1,0,0,1,0,0,2,1,1,4"
"0,1,1,3,0,0,3,0,2,1,0,5"
"2,2,2,2,2,2,2,1,1,1,0,4"
"4,1,3,3,0,1,3,0,0,0,0,4"
"2,2,2,2,2,2,2,1,1,0,3,4"
"1,1,1,1,1,3,0,2,0,0,4,1"
"2,2,2,2,2,2,2,1,2,1,0,4"
"4,3,1,1,0,0,0,0,2,1,3,4"
"1,0,1,0,0,1,0,0,2,1,0,3"
"1,2,1,0,0,0,0,0,2,1,4,4"
"0,0,1,1,1,3,1,0,0,0,3,4"
"2,2,2,2,2,2,2,1,2,1,3,5"
"2,2,2,2,2,2,2,1,0,1,3,4"
"1,1,1,3,0,1,3,0,1,0,0,1"
"0,0,1,1,1,3,1,0,1,1,0,4"
"2,2,2,2,2,2,2,1,2,1,0,4"
"4,3,1,0,0,1,0,0,2,1,0,4"
"1,2,1,1,1,0,0,2,1,0,0,0"
"3,1,0,0,0,1,0,0,1,0,1,4"
"4,3,3,3,0,0,1,0,0,0,0,4"
"4,3,3,3,3,1,3,0,2,1,1,4"
"0,1,1,3,0,1,3,0,0,1,3,5"
"2,2,2,2,2,2,2,1,1,0,0,1"
"4,0,3,3,3,3,1,2,2,1,0,5"
"0,0,1,3,3,1,0,0,2,0,0,4"
"4,3,3,1,1,0,3,0,1,0,3,4"
"2,2,2,2,2,2,2,1,1,1,1,5"
"2,2,2,2,2,2,2,1,2,1,0,3"
"1,0,1,3,3,0,0,0,1,0,0,0"
"3,2,3,3,3,1,3,0,2,1,3,4"
"3,2,1,0,0,0,1,0,2,1,3,5"
"2,2,2,2,2,2,2,1,0,0,0,3"
"0,0,1,0,1,0,1,0,1,1,3,3"
"4,1,1,1,1,1,0,0,1,0,3,3"
"4,1,1,1,0,3,0,0,2,1,3,3"
"3,0,0,1,0,0,0,0,0,1,0,5"
"4,3,1,1,1,3,1,0,2,1,3,4"
"1,1,1,3,3,1,3,0,1,0,4,4"
"2,2,2,2,2,2,2,1,2,1,3,3"
"1,2,1,1,1,0,1,0,1,0,0,4"
"4,3,1,1,0,0,1,0,2,1,0,5"
"4,1,3,3,0,1,3,0,2,1,3,3"
"3,2,1,1,0,0,0,0,0,0,3,3"
"2,2,2,2,2,2,2,1,2,1,4,5"
"0,1,1,1,1,0,0,0,0,1,0,2"
"1,1,1,1,1,3,0,0,2,0,4,2"
"4,3,1,0,1,0,0,0,0,1,0,4"
"1,1,1,1,0,1,0,0,0,0,0,0"
"4,3,3,0,1,1,3,0,2,1,3,3"
"2,2,2,2,2,2,2,1,0,1,0,5"
"4,1,3,3,3,1,0,0,2,0,0,5"
"2,2,2,2,2,2,2,1,0,0,0,2"
"4,0,1,1,1,0,0,0,2,1,4,4"
"1,0,1,1,1,3,1,0,2,1,3,3"
"2,2,2,2,2,2,2,1,0,1,4,0"
"2,2,2,2,2,2,2,1,1,0,1,1"
"0,1,1,3,0,3,0,0,0,0,3,4"
"1,1,1,1,1,3,0,0,2,1,3,5"
"0,0,1,1,1,0,1,0,0,1,3,3"
"2,2,2,2,2,2,2,1,1,0,3,4"
"4,0,3,1,1,0,0,0,1,0,3,4"
"4,3,3,3,3,1,1,0,2,1,0,5"
"4,1,1,1,1,3,1,2,2,1,3,3"
"2,2,2,2,2,2,2,1,2,1,3,4"
"4,0,0,1,1,3,0,0,1,0,3,1"
"2,2,2,2,2,2,2,1,2,1,3,4"
"0,0,0,3,3,0,3,0,1,1,0,0"
"4,3,3,3,0,1,0,0,2,1,0,4"
"0,0,0,0,1,0,0,0,1,1,3,1"
"1,1,1,1,1,0,0,0,1,0,3,3"
"4,3,1,1,1,3,0,0,2,1,3,2"
"2,2,2,2,2,2,2,1,1,1,3,3"
"0,1,0,0,0,0,0,0,2,1,3,5"
"4,3,1,0,0,3,1,0,0,1,0,4"
"4,0,3,3,3,1,1,0,0,1,0,0"
"4,3,3,3,3,0,3,0,2,1,2,4"
"2,2,2,2,2,2,2,1,2,1,4,3"
"2,2,2,2,2,2,2,1,2,1,3,3"
"3,0,1,3,3,0,3,0,1,0,3,1"
"1,0,1,1,1,3,0,0,2,0,4,2"
"1,3,1,0,3,3,1,2,2,1,0,4"
"0,1,1,3,0,1,0,0,2,1,0,5"
"2,2,2,2,2,2,2,1,1,0,3,1"
"4,3,1,1,1,3,0,0,2,1,3,4"
"1,2,1,3,3,1,1,0,2,1,0,4"
"1,1,1,1,1,0,0,0,2,0,3,2"
"3,2,1,0,0,1,0,0,1,0,0,1"
"0,1,1,0,0,1,0,0,1,0,0,0"
"3,2,1,1,0,3,1,2,0,0,3,0"
"1,1,1,0,0,0,0,0,0,1,0,4"
"1,1,1,1,1,3,1,0,2,0,3,2"
"4,3,3,3,0,1,3,2,0,1,3,4"
"1,1,0,1,0,3,1,0,1,1,0,5"
"1,2,1,1,0,0,0,0,2,1,0,3"
"1,1,1,3,1,3,0,0,1,1,4,4"
"0,1,3,3,0,1,3,2,1,0,3,4"
"0,3,1,3,1,1,0,0,1,0,1,3"
"2,2,2,2,2,2,2,1,2,0,1,5"
"1,1,1,3,3,1,3,0,1,0,0,4"
"0,0,1,0,1,0,1,0,2,1,3,0"
"1,3,1,1,1,0,1,0,0,0,3,4"
"0,1,1,0,3,0,0,0,2,1,0,4"
"4,3,1,3,1,0,0,0,2,1,1,3"
"1,3,3,0,1,3,1,0,2,1,3,3"
"2,2,2,2,2,2,2,1,2,1,0,5"
"1,1,1,0,0,0,0,0,0,1,4,4"
"1,1,1,0,0,1,0,0,2,1,0,3"
"4,3,3,3,3,1,3,0,1,0,1,5"
"4,3,1,3,3,1,0,0,2,1,1,4"
"0,1,1,0,0,0,0,0,0,1,1,3"
"3,2,1,1,0,0,1,0,0,1,0,3"
"4,3,1,0,0,0,0,0,0,0,0,4"
"0,0,1,0,0,0,1,0,2,1,0,4"
"0,1,1,1,1,0,1,0,2,0,0,4"
"2,2,2,2,2,2,2,1,2,1,3,0"
"2,2,2,2,2,2,2,1,2,1,3,4"
"4,3,1,0,0,0,3,0,0,1,4,4"
"2,2,2,2,2,2,2,1,0,1,0,4"
"4,0,0,0,0,0,0,0,1,0,0,3"
"2,2,2,2,2,2,2,1,1,1,3,0"
"2,2,2,2,2,2,2,1,2,1,2,5"
"4,0,3,0,1,0,0,0,1,0,0,1"
"4,3,1,1,1,0,0,0,2,1,3,0"
"4,1,1,1,0,3,0,0,0,0,0,5"
"2,2,2,2,2,2,2,1,2,1,3,5"
"1,0,1,1,1,3,1,2,2,1,3,0"
"4,0,3,1,1,0,0,2,2,1,3,4"
"3,1,1,1,3,0,0,0,1,0,3,1"
"4,1,1,1,1,3,0,0,2,0,3,2"
"4,3,1,3,0,1,0,0,2,1,0,4"
"4,3,1,0,0,0,1,0,0,1,3,3"
"4,1,1,0,1,0,1,0,1,0,0,5"
"2,2,2,2,2,2,2,1,2,1,3,4"
"3,2,1,3,3,1,3,0,0,0,0,4"
"4,0,1,0,1,0,0,0,2,1,1,5"
"4,3,1,1,1,0,0,0,0,1,3,5"
"0,3,1,1,1,0,0,0,0,1,3,3"
"4,0,3,3,0,0,0,0,2,1,0,4"
"4,1,1,1,0,0,0,0,0,1,3,4"
"0,0,3,3,3,0,0,0,1,0,0,4"
"0,0,1,0,1,3,1,0,0,1,4,4"
"4,1,1,1,1,3,1,0,1,0,3,0"
"3,3,1,1,1,3,0,0,2,1,3,3"
"3,2,3,0,3,0,3,0,0,1,3,4"
"4,3,1,0,0,3,1,2,0,1,3,0"
"4,1,1,1,0,3,1,0,2,1,3,3"
"2,2,2,2,2,2,2,1,2,1,3,4"
"4,3,1,1,1,3,1,0,2,1,3,3"
"4,3,1,3,3,1,0,0,2,1,1,4"
"4,3,1,3,0,1,0,0,2,1,0,0"
"4,3,3,3,3,1,3,0,0,1,3,3"
"4,1,1,3,0,0,1,0,2,0,3,0"
"1,3,3,3,0,0,3,0,2,0,3,4"
"1,0,3,3,1,3,1,0,2,1,3,0"
"2,2,2,2,2,2,2,1,2,1,0,4"
"0,0,1,1,1,0,0,0,0,1,3,0"
"1,1,1,1,1,3,1,0,2,1,3,3"
"0,0,1,1,1,0,1,0,2,1,0,4"
"2,2,2,2,2,2,2,1,1,0,3,4"
"4,3,3,3,0,1,3,0,2,1,0,3"
"0,1,1,1,1,3,1,2,2,1,3,4"
"4,0,1,1,1,3,3,0,2,1,3,0"
"3,0,3,0,0,1,1,0,1,0,0,5"
"4,3,1,3,3,1,0,0,2,1,1,5"
"4,3,1,0,3,1,1,0,2,1,3,4"
"3,0,1,1,0,0,0,0,2,1,0,3"
"1,1,1,0,1,0,0,0,1,0,0,3"
"1,2,1,1,1,3,1,2,2,1,3,4"
"4,0,3,1,1,3,3,0,2,0,3,4"
"4,3,3,1,3,0,1,2,2,1,0,0"
"2,2,2,2,2,2,2,1,0,0,0,0"
"1,1,1,0,3,0,0,0,1,0,0,3"
"0,0,1,0,0,0,0,0,1,0,3,5"
"4,0,3,0,1,1,1,0,1,0,0,1"
"3,2,1,0,0,0,0,0,2,1,3,4"
"4,0,3,3,0,1,3,0,0,0,3,3"
"0,0,1,0,0,0,0,0,2,1,4,4"
"4,1,1,3,3,1,3,0,2,1,0,5"
"2,2,2,2,2,2,2,1,1,1,0,4"
"2,2,2,2,2,2,2,1,1,0,2,3"
"4,3,3,3,3,0,0,2,0,1,4,4"
"0,0,1,3,0,0,1,0,2,0,1,4"
"4,1,1,0,0,0,1,0,2,0,3,4"
